1/1/2025,HK,The first day of January
1/1/2025,CN,New Year's Day
28/1/2025,CN,Spring Festival
29/1/2025,HK,Lunar New Year's Day
29/1/2025,CN,Spring Festival
30/1/2025,HK,The second day of Lunar New Year
30/1/2025,CN,Spring Festival
31/1/2025,HK,The third day of Lunar New Year
31/1/2025,CN,Spring Festival
1/2/2025,CN,Spring Festival
2/2/2025,CN,Spring Festival
3/2/2025,CN,Spring Festival
4/2/2025,CN,Spring Festival
5/2/2025,CN,Spring Festival
4/4/2025,HK,Ching Ming Festival
4/4/2025,CN,Qingming Festival
5/4/2025,CN,Qingming Festival
6/4/2025,CN,Qingming Festival
18/4/2025,HK,Good Friday
19/4/2025,HK,The day following Good Friday
21/4/2025,HK,Easter Monday
1/5/2025,HK,Labour Day
1/5/2025,CN,Labor Day
2/5/2025,CN,Labor Day
3/5/2025,CN,Labor Day
4/5/2025,CN,Labor Day
5/5/2025,HK,The Birthday of the Buddha
5/5/2025,CN,Labor Day
31/5/2025,HK,Tuen Ng Festival
31/5/2025,CN,Dragon Boat Festival
1/6/2025,CN,Dragon Boat Festival
2/6/2025,CN,Dragon Boat Festival
1/7/2025,HK,Hong Kong Special Administrative Region Establishment Day
1/10/2025,HK,National Day
1/10/2025,CN,National Day and Mid-Autumn Festival
2/10/2025,CN,National Day and Mid-Autumn Festival
3/10/2025,CN,National Day and Mid-Autumn Festival
4/10/2025,CN,National Day and Mid-Autumn Festival
5/10/2025,CN,National Day and Mid-Autumn Festival
6/10/2025,CN,National Day and Mid-Autumn Festival
7/10/2025,HK,The day following the Chinese Mid-Autumn Festival
7/10/2025,CN,National Day and Mid-Autumn Festival
8/10/2025,CN,National Day and Mid-Autumn Festival
29/10/2025,HK,Chung Yeung Festival
25/12/2025,HK,Christmas Day
26/12/2025,HK,The first weekday after Christmas Day
